,sub_problem,sub_fval,solution,qaoa_time
0,"[466, 1704, 1838, 1505, 525, 206, 1393]",0.24195769416792168,[1. 0. 1. 0. 1. 0. 0.],0.8160841464996338
1,"[22, 411, 551, 1447, 862, 1797, 1369]",0.24178194390581653,[0. 0. 1. 1. 0. 1. 1.],0.6476986408233643
2,"[1121, 1903, 1280, 1163, 1844, 1358, 330]",0.24158754884444683,[0. 0. 0. 0. 1. 1. 1.],0.6579310894012451
3,"[983, 149, 275, 606, 1293, 113, 449]",0.24138686552892005,[0. 1. 0. 0. 1. 1. 0.],0.6534128189086914
4,"[164, 1448, 832, 499, 103, 1697, 1468]",0.24118576082638502,[0. 1. 1. 1. 0. 1. 0.],0.6453812122344971
5,"[1460, 670, 1175, 881, 1033, 1605, 1654]",0.23970605436651823,[0. 1. 0. 0. 0. 1. 1.],0.662405252456665
6,"[1105, 183, 828, 1411, 1273, 1229, 898]",0.23816672903387748,[1. 1. 0. 1. 1. 1. 0.],0.7336828708648682
7,"[1030, 778, 53, 1512, 502, 1014, 1832]",0.2346164910395089,[1. 1. 1. 0. 0. 1. 1.],0.6625239849090576
8,"[644, 1694, 1310, 1302, 590, 395, 1880]",0.23339685540962735,[0. 1. 0. 1. 1. 1. 0.],0.6267526149749756
9,"[563, 738, 1202, 1177, 965, 1845, 121]",0.23203653296255544,[0. 1. 1. 0. 0. 0. 0.],0.6713893413543701
10,"[652, 97, 895, 1921, 361, 253, 1164]",0.23180868344499989,[1. 0. 1. 1. 1. 1. 0.],0.6849579811096191
11,"[980, 343, 1743, 755, 163, 879, 1354]",0.23004031930533972,[0. 1. 1. 1. 1. 0. 1.],0.6871898174285889
12,"[928, 162, 550, 766, 1068, 304, 656]",0.23000718528507436,[0. 0. 0. 0. 1. 0. 0.],0.6575260162353516
13,"[807, 929, 1807, 620, 1510, 1308, 1909]",0.22863087952505326,[1. 1. 1. 1. 0. 1. 0.],0.6891217231750488
14,"[608, 431, 891, 469, 1742, 356, 1757]",0.22816503600377158,[1. 1. 0. 1. 0. 1. 0.],0.6891043186187744
15,"[878, 536, 31, 1433, 1515, 23, 901]",0.22632057329065747,[1. 1. 1. 1. 1. 0. 0.],0.6959366798400879
16,"[1632, 1323, 124, 1207, 1277, 1260, 841]",0.22603778746672187,[0. 0. 0. 1. 0. 0. 1.],0.6894190311431885
17,"[1191, 715, 1860, 250, 409, 184, 217]",0.22577916005495713,[0. 1. 1. 0. 0. 1. 0.],0.6886448860168457
18,"[541, 235, 1383, 1382, 1227, 1831, 844]",0.22567056799462765,[1. 0. 1. 1. 1. 0. 1.],0.6897718906402588
19,"[1458, 355, 559, 255, 1486, 1256, 947]",0.22559600453140008,[1. 0. 1. 0. 0. 1. 1.],0.6792349815368652
20,"[1438, 1194, 397, 993, 1478, 1561, 638]",0.2249821884077636,[1. 0. 1. 1. 1. 1. 1.],0.7711434364318848
21,"[945, 1760, 974, 32, 1203, 25, 1595]",0.22378901363957282,[1. 0. 1. 0. 0. 0. 0.],0.7005372047424316
22,"[414, 272, 986, 1300, 1523, 1168, 1465]",0.22223656354760968,[0. 1. 1. 0. 1. 0. 0.],0.6891591548919678
