,sub_problem,sub_fval,solution,qaoa_time
0,"[1769, 1411, 774, 170, 582, 961, 471]",0.24360760638169784,[0. 0. 1. 0. 1. 0. 0.],0.8435497283935547
1,"[1060, 244, 1624, 1064, 967, 1208, 65]",0.24278470484651254,[1. 1. 1. 0. 1. 1. 0.],0.7294390201568604
2,"[1817, 1422, 1230, 1193, 852, 447, 204]",0.2411145237049546,[1. 1. 1. 1. 0. 0. 1.],0.7299685478210449
3,"[1725, 1176, 1298, 713, 1035, 709, 1588]",0.2402765773784533,[0. 0. 1. 1. 1. 0. 0.],0.7285001277923584
4,"[398, 1009, 484, 1418, 475, 946, 1211]",0.23972998044255986,[1. 0. 1. 0. 0. 0. 0.],0.7281849384307861
5,"[1494, 880, 1253, 10, 594, 704, 1815]",0.23934464356121624,[0. 0. 1. 0. 1. 0. 0.],0.7370779514312744
6,"[440, 1876, 1136, 1668, 1072, 1518, 40]",0.2392459327865236,[0. 0. 1. 1. 0. 0. 0.],0.7311644554138184
7,"[1124, 1250, 1306, 1613, 1515, 975, 999]",0.23862890782770282,[0. 1. 0. 0. 1. 0. 0.],0.8121519088745117
8,"[859, 1331, 1743, 1907, 1260, 1805, 1505]",0.23821973511421135,[1. 0. 0. 1. 0. 0. 0.],0.7266156673431396
9,"[461, 1019, 429, 921, 202, 831, 1191]",0.23683307146470062,[0. 0. 1. 0. 1. 1. 0.],0.7287683486938477
10,"[1451, 1227, 655, 154, 1093, 1590, 1224]",0.23616940623947538,[1. 0. 1. 1. 0. 0. 0.],0.7327427864074707
11,"[591, 522, 909, 891, 1428, 1902, 217]",0.2356058415830177,[0. 1. 0. 0. 1. 1. 0.],0.7262437343597412
12,"[608, 900, 1286, 1543, 289, 498, 799]",0.234520115969575,[1. 0. 0. 0. 1. 0. 0.],0.7239999771118164
13,"[1006, 1351, 122, 686, 1737, 583, 1338]",0.23285187602562274,[0. 0. 1. 1. 1. 0. 0.],0.7231125831604004
14,"[431, 925, 1708, 1104, 738, 175, 1262]",0.23256641378894177,[1. 0. 0. 0. 0. 0. 0.],0.725090742111206
15,"[87, 716, 1833, 1238, 1502, 805, 437]",0.23166190512167262,[1. 0. 0. 1. 0. 0. 0.],0.7245523929595947
16,"[1397, 1270, 1329, 115, 1095, 163, 1675]",0.2312062840223454,[1. 1. 0. 1. 1. 0. 0.],0.7298600673675537
17,"[61, 657, 1647, 1860, 612, 1355, 1801]",0.230437620117651,[1. 0. 0. 0. 1. 0. 0.],0.7288248538970947
18,"[934, 1808, 124, 1092, 1493, 1492, 664]",0.2299942335580236,[0. 1. 1. 0. 1. 0. 0.],0.7256293296813965
19,"[1416, 813, 626, 1589, 16, 763, 1489]",0.22958097445788891,[1. 1. 0. 0. 1. 1. 0.],0.7272064685821533
20,"[1061, 1540, 1055, 1875, 159, 660, 1108]",0.22811882418321464,[0. 0. 1. 0. 0. 0. 0.],0.7209343910217285
21,"[531, 445, 247, 1732, 667, 1736, 121]",0.22803284158045092,[0. 0. 1. 0. 0. 0. 1.],0.8269088268280029
22,"[1121, 1363, 1809, 455, 1054, 1766, 1878]",0.22710318712305788,[0. 0. 0. 0. 0. 1. 0.],0.7213830947875977
23,"[1535, 1651, 42, 1213, 476, 1456, 643]",0.22543589123735056,[1. 1. 0. 1. 1. 1. 0.],0.7195720672607422
24,"[1322, 819, 666, 1196, 1734, 1326, 884]",0.22430147352572527,[0. 0. 0. 1. 0. 0. 1.],0.7297158241271973
25,"[395, 1601, 1360, 151, 1864, 1050, 1004]",0.223157525993035,[1. 0. 1. 0. 1. 0. 0.],0.7215204238891602
26,"[563, 592, 303, 375, 822, 524, 1506]",0.2219249792044878,[1. 1. 0. 1. 0. 1. 1.],0.723820686340332
27,"[1271, 211, 1195, 744, 505, 82, 1349]",0.22192497920448784,[0. 0. 1. 1. 1. 0. 0.],0.7162985801696777
28,"[1069, 1841, 567, 1017, 1598, 1014, 243]",0.22191308248101474,[1. 0. 0. 0. 0. 0. 0.],0.7226645946502686
29,"[157, 1754, 1417, 2, 1706, 1693, 1285]",0.22103194745834723,[0. 0. 0. 0. 0. 1. 1.],0.7230806350708008
30,"[485, 959, 1683, 428, 548, 1789, 1333]",0.22060237382912595,[1. 1. 0. 0. 1. 0. 1.],0.7245204448699951
31,"[67, 1751, 1091, 915, 624, 1600, 443]",0.2201408508286931,[0. 0. 0. 0. 0. 0. 1.],0.7243413925170898
32,"[22, 13, 722, 1407, 130, 1379, 771]",0.2194918143554566,[0. 1. 1. 0. 0. 1. 0.],0.7249953746795654
