,sub_problem,sub_fval,solution,qaoa_time
0,"[1385, 1586, 3795, 2022, 2747, 1871, 1323]",0.2853186514294111,[0. 0. 0. 0. 0. 0. 0.],0.5910708904266357
1,"[1600, 4010, 4718, 967, 569, 2737, 3442]",0.285139936400045,[0. 0. 0. 0. 0. 0. 0.],0.4784865379333496
2,"[1014, 426, 4380, 3839, 1375, 5191, 3557]",0.28489481825674245,[0. 0. 0. 0. 0. 0. 0.],0.4687678813934326
3,"[684, 3673, 2938, 3190, 133, 5354, 4596]",0.2844960153596498,[0. 0. 0. 0. 0. 0. 1.],0.47840452194213867
4,"[674, 4875, 545, 3754, 5351, 1554, 395]",0.2841482774637858,[0. 0. 0. 0. 0. 0. 1.],0.46541833877563477
5,"[3924, 721, 2079, 1895, 2486, 3786, 2003]",0.2838430790838243,[0. 0. 0. 0. 0. 0. 0.],0.46595335006713867
6,"[5126, 2711, 4719, 1482, 2559, 401, 1073]",0.2836517507472275,[0. 0. 0. 0. 0. 1. 0.],0.46758508682250977
7,"[5323, 1859, 1142, 1858, 678, 1811, 5103]",0.28334877623554144,[0. 0. 0. 0. 0. 0. 0.],0.4855537414550781
8,"[3871, 1691, 1915, 3127, 3846, 2309, 5011]",0.2832316771327504,[0. 0. 0. 0. 0. 0. 0.],0.5023081302642822
9,"[988, 2542, 3950, 2288, 1796, 4013, 213]",0.28233437172067277,[0. 0. 0. 0. 0. 0. 0.],0.4739725589752197
10,"[3003, 245, 2368, 2427, 1809, 4001, 1253]",0.28221710097487596,[0. 0. 0. 0. 0. 0. 0.],0.45554232597351074
11,"[2853, 2054, 3452, 1519, 3815, 752, 2536]",0.2820089971772146,[0. 0. 0. 0. 0. 0. 0.],0.4517021179199219
12,"[803, 473, 4111, 2905, 2222, 4616, 259]",0.281886340356599,[0. 0. 0. 0. 0. 0. 0.],0.4999203681945801
13,"[3497, 3596, 4579, 3222, 387, 5344, 2796]",0.2800063449591198,[0. 0. 0. 0. 0. 0. 0.],0.45878171920776367
14,"[1426, 1527, 5300, 3679, 734, 273, 3824]",0.2798259556541288,[0. 0. 0. 0. 0. 0. 0.],0.44924187660217285
15,"[5198, 4016, 3216, 2843, 4445, 3480, 1741]",0.2795908109662966,[0. 0. 0. 0. 0. 0. 0.],0.4554131031036377
16,"[4774, 1968, 1953, 154, 1349, 3757, 2234]",0.2793254042809892,[0. 0. 0. 0. 0. 0. 0.],0.4975404739379883
17,"[5497, 4915, 2259, 238, 3691, 4877, 1753]",0.27909156064504104,[0. 0. 0. 0. 0. 0. 0.],0.5322260856628418
18,"[997, 2791, 1666, 2137, 57, 4740, 5396]",0.27889427483147466,[0. 0. 0. 0. 0. 0. 0.],0.4468650817871094
19,"[1087, 4196, 5055, 2949, 1084, 4195, 5159]",0.2785955749306609,[0. 0. 0. 0. 0. 0. 0.],0.44795680046081543
20,"[3938, 3863, 3866, 2006, 2856, 2078, 3112]",0.27822649948533484,[0. 0. 0. 0. 0. 0. 0.],0.4477972984313965
21,"[2187, 5043, 3892, 3916, 4690, 3317, 4540]",0.27811096251513123,[0. 0. 0. 0. 0. 0. 0.],0.4460108280181885
22,"[2665, 6, 5434, 1079, 5376, 3283, 1486]",0.2777995822742557,[0. 0. 0. 0. 0. 0. 0.],0.45729851722717285
23,"[832, 4104, 1706, 3925, 1802, 2312, 3837]",0.2776840856743682,[0. 0. 0. 0. 0. 0. 0.],0.44879794120788574
24,"[2555, 2696, 3888, 2497, 1454, 2808, 722]",0.27740649881333107,[0. 0. 0. 0. 0. 0. 0.],0.4634666442871094
25,"[1470, 1649, 5335, 3605, 1053, 2281, 2918]",0.277347585276701,[0. 0. 0. 0. 0. 0. 0.],0.4493987560272217
26,"[4605, 3293, 4653, 3515, 4900, 3476, 2896]",0.2772894641774863,[0. 0. 0. 0. 1. 0. 0.],0.4571068286895752
27,"[2763, 430, 4400, 1996, 3520, 3915, 3206]",0.2769570766777474,[0. 0. 0. 0. 0. 0. 0.],0.4470944404602051
28,"[5132, 1553, 5355, 1016, 4154, 471, 3339]",0.27433801468057195,[0. 0. 0. 0. 0. 0. 0.],0.47469544410705566
29,"[5186, 4698, 5265, 1909, 4024, 3096, 541]",0.27421902079326566,[0. 0. 0. 0. 0. 0. 0.],0.44785237312316895
30,"[4601, 4501, 466, 5537, 3085, 3644, 5431]",0.27409772911094066,[0. 0. 0. 0. 0. 0. 0.],0.4474520683288574
31,"[2277, 4627, 3114, 5277, 4744, 5166, 140]",0.27395888859404405,[0. 0. 0. 0. 0. 0. 0.],0.44855785369873047
32,"[4112, 3968, 4377, 45, 5073, 2135, 834]",0.27390127851934,[0. 0. 0. 0. 0. 0. 0.],0.4479343891143799
33,"[4467, 524, 5220, 4079, 4189, 4406, 1035]",0.2736668309076088,[0. 0. 0. 0. 0. 0. 0.],0.44770359992980957
34,"[4890, 707, 3156, 986, 3405, 4785, 4878]",0.27334910263856377,[1. 0. 0. 0. 0. 1. 0.],0.48484039306640625
35,"[1908, 4301, 4641, 5020, 4236, 1259, 4819]",0.27322763827889723,[0. 0. 0. 0. 0. 1. 0.],0.4512908458709717
36,"[4238, 4622, 2881, 2770, 4004, 4827, 884]",0.25818805685450136,[0. 0. 0. 0. 0. 0. 0.],0.5008771419525146
37,"[4363, 2775, 4200, 1556, 4149, 4853, 2166]",0.2578756248134807,[0. 0. 0. 0. 0. 0. 0.],0.44695377349853516
38,"[3544, 1611, 2357, 2425, 2358, 2471, 4552]",0.2578756248134807,[0. 0. 0. 0. 0. 0. 0.],0.44689249992370605
39,"[5054, 1180, 2272, 1051, 4760, 5216, 1930]",0.2576480788165566,[0. 0. 0. 0. 0. 0. 0.],0.4486105442047119
40,"[3926, 126, 5285, 4554, 5116, 5200, 2700]",0.2572058455146299,[0. 0. 0. 0. 0. 0. 0.],0.44761037826538086
41,"[3207, 3750, 2915, 5307, 114, 2663, 375]",0.256838265742431,[0. 0. 0. 0. 0. 0. 1.],0.4469480514526367
42,"[3853, 2170, 3459, 1848, 1517, 478, 4351]",0.25566669819479676,[0. 0. 0. 0. 0. 0. 0.],0.47107458114624023
43,"[1023, 2112, 2751, 429, 1370, 4948, 5188]",0.25566669819479676,[0. 0. 0. 0. 0. 0. 0.],0.44730329513549805
44,"[5048, 2664, 3489, 3816, 1927, 2352, 2877]",0.25524476168614113,[0. 0. 0. 0. 0. 0. 0.],0.45564770698547363
45,"[5026, 4519, 5504, 983, 4055, 3420, 4322]",0.2548656643001611,[0. 0. 0. 0. 0. 0. 0.],0.44725871086120605
46,"[4144, 3290, 4736, 1066, 1443, 4160, 3426]",0.25459659742730745,[0. 0. 0. 0. 0. 0. 0.],0.4717092514038086
47,"[4091, 380, 4360, 5040, 4437, 5507, 2237]",0.25459659742730745,[0. 0. 0. 0. 0. 0. 0.],0.4654531478881836
48,"[98, 1971, 3044, 4155, 3123, 2362, 3772]",0.25442791224623723,[0. 0. 0. 0. 0. 0. 0.],0.44820070266723633
49,"[2104, 1639, 5174, 2492, 3796, 1268, 227]",0.2543162313908377,[0. 0. 0. 0. 0. 0. 0.],0.4507296085357666
50,"[1783, 2749, 5379, 3500, 3484, 843, 1240]",0.25409281432369996,[0. 0. 0. 0. 0. 0. 0.],0.4577975273132324
51,"[3050, 3400, 1012, 4711, 1243, 3852, 3550]",0.2538678445484971,[0. 0. 0. 0. 0. 0. 0.],0.44481825828552246
52,"[3298, 771, 749, 3376, 833, 3146, 5480]",0.25362338278609853,[0. 0. 0. 0. 0. 0. 0.],0.45930933952331543
53,"[1750, 2744, 3084, 2483, 636, 5370, 1761]",0.25330193831273085,[0. 0. 0. 0. 0. 0. 0.],0.47003769874572754
54,"[1481, 3956, 1279, 4592, 835, 3954, 5295]",0.2530619501692599,[0. 0. 0. 1. 0. 0. 0.],0.4694225788116455
55,"[3142, 252, 878, 1873, 197, 1538, 589]",0.25288748603775635,[0. 0. 0. 0. 0. 0. 0.],0.5610520839691162
56,"[4649, 2569, 3588, 2354, 3120, 4261, 120]",0.2526048614135156,[0. 0. 0. 0. 0. 0. 0.],0.46956396102905273
