,sub_problem,sub_fval,solution,qaoa_time
0,"[822, 1267, 1729, 1458, 1024, 1744, 1843]",0.2449516298565978,[0. 1. 1. 0. 0. 0. 0.],0.819277286529541
1,"[1385, 1582, 1809, 1925, 1173, 757, 421]",0.24433718733919016,[0. 0. 0. 1. 1. 0. 0.],0.6798715591430664
2,"[1420, 1283, 1008, 486, 972, 1487, 1169]",0.24346773406571115,[0. 0. 0. 0. 0. 0. 0.],0.7461695671081543
3,"[374, 416, 1906, 373, 1919, 1056, 820]",0.24221342540475632,[0. 0. 0. 0. 0. 0. 0.],0.6714515686035156
4,"[318, 508, 1523, 200, 811, 1643, 277]",0.24158137524707035,[0. 0. 0. 0. 0. 0. 0.],0.6953630447387695
5,"[1873, 472, 403, 407, 1718, 148, 1923]",0.24075426685049703,[0. 0. 1. 0. 0. 0. 0.],0.7406823635101318
6,"[40, 1634, 1525, 662, 1291, 1858, 733]",0.24072966172073462,[0. 0. 0. 0. 1. 1. 0.],0.8050808906555176
7,"[265, 754, 418, 183, 902, 7, 1370]",0.2401420441646257,[0. 0. 0. 1. 0. 1. 1.],0.7322390079498291
8,"[213, 1692, 939, 676, 1840, 1515, 96]",0.2397072263327611,[0. 0. 0. 0. 0. 0. 0.],0.7236933708190918
9,"[1357, 184, 1228, 992, 999, 501, 1410]",0.23914238046024422,[0. 1. 0. 1. 0. 0. 0.],0.7805161476135254
10,"[1682, 821, 1629, 365, 1867, 103, 1787]",0.23828769770504726,[1. 0. 0. 1. 0. 0. 0.],0.7581071853637695
11,"[307, 1085, 536, 59, 1921, 1379, 1480]",0.2380664953631694,[0. 1. 0. 0. 1. 1. 0.],0.7534997463226318
12,"[1237, 683, 813, 13, 1707, 289, 632]",0.23770052004497733,[0. 0. 0. 0. 1. 0. 0.],0.697643518447876
13,"[831, 1688, 323, 608, 144, 339, 783]",0.2372839185955965,[0. 1. 0. 0. 0. 0. 0.],0.6440424919128418
14,"[1624, 450, 1509, 1284, 1135, 485, 1473]",0.23703202314422425,[0. 0. 0. 1. 1. 0. 1.],0.6408021450042725
15,"[1481, 93, 710, 639, 376, 607, 1494]",0.23561863519421997,[0. 0. 0. 0. 0. 0. 1.],0.6409387588500977
16,"[479, 138, 24, 1934, 498, 629, 818]",0.23466062062514947,[0. 0. 1. 0. 0. 0. 0.],0.6395008563995361
17,"[95, 218, 1765, 17, 1034, 542, 535]",0.23426840047664169,[0. 0. 0. 1. 0. 0. 0.],0.6387372016906738
18,"[1548, 65, 1152, 1924, 1543, 1766, 556]",0.2335755333231855,[0. 1. 0. 0. 0. 0. 0.],0.7433667182922363
19,"[1262, 223, 576, 544, 624, 876, 229]",0.23307786820775855,[0. 1. 0. 0. 0. 0. 0.],0.8192331790924072
20,"[193, 843, 54, 1114, 262, 1351, 1599]",0.2327358627105822,[1. 0. 0. 1. 0. 1. 0.],0.7198798656463623
21,"[1010, 1804, 123, 677, 241, 1397, 986]",0.23134869152708562,[1. 0. 0. 0. 0. 0. 0.],0.6918590068817139
22,"[1735, 575, 210, 1269, 765, 1854, 1869]",0.2303855444729095,[1. 0. 0. 1. 0. 0. 0.],0.702286958694458
23,"[1857, 1913, 1052, 721, 1355, 1279, 1776]",0.22929723831577012,[0. 0. 0. 0. 1. 1. 0.],0.6756057739257812
24,"[18, 282, 1001, 337, 267, 1647, 871]",0.22882353015603496,[0. 1. 0. 0. 0. 0. 0.],0.7005672454833984
25,"[33, 411, 133, 795, 1713, 484, 956]",0.22777847919166394,[0. 0. 0. 0. 1. 0. 0.],0.6638479232788086
26,"[1663, 1566, 1894, 444, 1102, 16, 1079]",0.227318037967647,[0. 0. 0. 0. 1. 0. 0.],0.6172497272491455
