,sub_problem,sub_fval,solution,qaoa_time
0,"[15, 39, 70, 8, 6, 12, 14]",0.23431278986061596,[0. 0. 0. 0. 0. 0. 0.],0.8793344497680664
1,"[22, 23, 51, 50, 30, 26, 20]",0.219711997487361,[0. 0. 0. 0. 0. 0. 0.],0.7314386367797852
2,"[37, 54, 86, 82, 69, 42, 16]",0.20834716935046493,[0. 0. 0. 0. 0. 0. 0.],0.7320451736450195
3,"[34, 17, 19, 46, 81, 49, 73]",0.2051614268318027,[0. 0. 1. 0. 1. 0. 0.],0.7315633296966553
4,"[2, 72, 25, 43, 76, 31, 68]",0.195928455639802,[0. 0. 1. 0. 1. 0. 1.],0.737821102142334
5,"[47, 71, 5, 61, 52, 3, 84]",0.18463239592169736,[0. 1. 0. 1. 0. 0. 0.],0.7352986335754395
6,"[87, 58, 59, 18, 48, 35, 21]",0.1796331520441167,[1. 0. 0. 0. 0. 0. 0.],0.7299315929412842
7,"[89, 77, 9, 38, 67, 75, 33]",0.17390296209676737,[0. 1. 0. 0. 0. 1. 0.],0.82293701171875
8,"[74, 64, 60, 29, 13, 1, 65]",0.16784723292759846,[0. 0. 1. 1. 1. 0. 1.],0.7269697189331055
9,"[80, 85, 88, 10, 62, 40, 7]",0.16763248581472193,[1. 1. 0. 0. 1. 1. 0.],0.7320070266723633
10,"[36, 4, 55, 56, 24, 0, 32]",0.16398313693367433,[0. 0. 1. 0. 1. 0. 1.],0.7299582958221436
11,"[27, 66, 63, 44, 41, 45, 53]",0.1565949266093883,[1. 1. 1. 1. 0. 0. 0.],0.7274470329284668
12,"[11, 28, 57, 78, 79, 83, 75]",0.14409227325828874,[1. 0. 0. 1. 1. 1. 1.],0.7296040058135986
