Evaluation Number,Fitness Value,Computing Time
2,[0.2404623862029609],0.8350241184234619
3,[0.2404623862029609],1.2490952014923096
4,[0.23979365637607955],1.6543707847595215
5,[0.22985864791394559],2.0735270977020264
6,[0.22985864791394559],2.5052695274353027
7,[0.22985864791394559],2.910449266433716
8,[0.22985864791394559],3.3346540927886963
9,[0.22985864791394559],3.7462358474731445
10,[0.22985864791394559],4.16228461265564
11,[0.22985864791394559],4.589502573013306
12,[0.22985864791394559],4.994131565093994
13,[0.22985864791394559],5.417707681655884
14,[0.22985864791394559],5.845918893814087
15,[0.22985864791394559],6.251245737075806
16,[0.22985864791394559],6.6508119106292725
17,[0.22985864791394559],7.04885196685791
18,[0.22985864791394559],7.452179193496704
19,[0.22985864791394559],7.867062568664551
20,[0.22985864791394559],8.275116682052612
21,[0.22985864791394559],8.695747375488281
22,[0.22985864791394559],9.124926567077637
23,[0.22985864791394559],9.548808574676514
24,[0.22985864791394559],9.955360174179077
25,[0.22985864791394559],10.391145467758179
26,[0.22985864791394559],10.800591945648193
27,[0.22985864791394559],11.21331787109375
28,[0.22985864791394559],11.632394075393677
29,[0.22985864791394559],12.035832643508911
30,[0.22985864791394559],12.442541360855103
31,[0.22985864791394559],12.859217882156372
32,[0.22985864791394559],13.282113790512085
33,[0.22985864791394559],13.693246841430664
34,[0.22985864791394559],14.10986042022705
35,[0.22985864791394559],14.519543409347534
36,[0.22985864791394559],14.942947149276733
37,[0.22985864791394559],15.335937261581421
38,[0.22985864791394559],15.756083488464355
39,[0.22985864791394559],16.149588346481323
40,[0.22985864791394559],16.56248450279236
41,[0.22985864791394559],16.979787349700928
42,[0.22985864791394559],17.380224466323853
43,[0.22985864791394559],17.809433460235596
44,[0.22985864791394559],18.217332124710083
45,[0.22985864791394559],18.63015079498291
46,[0.22985864791394559],19.052868366241455
47,[0.22985864791394559],19.485321283340454
48,[0.22985864791394559],19.903992414474487
49,[0.22985864791394559],20.305511951446533
50,[0.22985864791394559],20.72417140007019
51,[0.22985864791394559],21.153919458389282
52,[0.22985864791394559],21.55354905128479
53,[0.22985864791394559],21.96960997581482
54,[0.22985864791394559],22.38377285003662
55,[0.22985864791394559],22.806024074554443
56,[0.22985864791394559],23.224863290786743
57,[0.22985864791394559],23.632842302322388
58,[0.22985864791394559],24.03967261314392
59,[0.22985864791394559],24.448539972305298
60,[0.22985864791394559],24.866787672042847
61,[0.22985864791394559],25.27586555480957
62,[0.22985864791394559],25.702634811401367
63,[0.22985864791394559],26.123342514038086
64,[0.22985864791394559],26.526854753494263
65,[0.22985864791394559],26.9392409324646
66,[0.22985864791394559],27.350001573562622
67,[0.22985864791394559],27.759002208709717
68,[0.22985864791394559],28.17750859260559
69,[0.22985864791394559],28.59226083755493
70,[0.22985864791394559],29.00226140022278
71,[0.22539565919154306],29.417171478271484
72,[0.22539565919154306],29.82794451713562
73,[0.22539565919154306],30.24465250968933
74,[0.22539565919154306],30.663309574127197
75,[0.22539565919154306],31.069347858428955
76,[0.22539565919154306],31.458874225616455
77,[0.22539565919154306],31.8797504901886
78,[0.22539565919154306],32.29670286178589
79,[0.22539565919154306],32.72512865066528
80,[0.22539565919154306],33.125499963760376
81,[0.22539565919154306],33.54400181770325
82,[0.22539565919154306],33.95924663543701
83,[0.22539565919154306],34.367783069610596
84,[0.22539565919154306],34.78947687149048
85,[0.22539565919154306],35.212382078170776
86,[0.22539565919154306],35.61944365501404
87,[0.22539565919154306],36.03942894935608
88,[0.22539565919154306],36.460283517837524
89,[0.22539565919154306],36.88678050041199
90,[0.22539565919154306],37.31001019477844
91,[0.22539565919154306],37.7194766998291
92,[0.22539565919154306],38.14618515968323
93,[0.22539565919154306],38.5582001209259
94,[0.22539565919154306],38.970309019088745
95,[0.22539565919154306],39.39653968811035
96,[0.22539565919154306],39.81030893325806
97,[0.22539565919154306],40.22985243797302
98,[0.22539565919154306],40.640865087509155
99,[0.22539565919154306],41.055294036865234
100,[0.22539565919154306],41.45883083343506
101,[0.22539565919154306],41.88645935058594
102,[0.22539565919154306],42.303524017333984
103,[0.22539565919154306],42.71253967285156
104,[0.22539565919154306],43.12599039077759
105,[0.22539565919154306],43.55773401260376
106,[0.22539565919154306],43.96767258644104
107,[0.22539565919154306],44.379459619522095
108,[0.22539565919154306],44.792314291000366
109,[0.22539565919154306],45.234987020492554
110,[0.22539565919154306],45.64561629295349
111,[0.22539565919154306],46.05103611946106
112,[0.22539565919154306],46.45864391326904
113,[0.22539565919154306],46.867634296417236
114,[0.22539565919154306],47.2888970375061
115,[0.22539565919154306],47.68780875205994
116,[0.22539565919154306],48.10586500167847
117,[0.22539565919154306],48.51628494262695
118,[0.22539565919154306],48.94501566886902
119,[0.22539565919154306],49.36419200897217
120,[0.22539565919154306],49.779173135757446
121,[0.22539565919154306],50.19295406341553
122,[0.22539565919154306],50.5990469455719
123,[0.22539565919154306],51.021995067596436
124,[0.22539565919154306],51.432963848114014
125,[0.22539565919154306],51.84555220603943
126,[0.22539565919154306],52.247950315475464
127,[0.22539565919154306],52.678802251815796
128,[0.22539565919154306],53.08792996406555
129,[0.22539565919154306],53.49724531173706
130,[0.22539565919154306],53.90509247779846
131,[0.22346197512980823],54.32569885253906
132,[0.22346197512980823],54.75178146362305
133,[0.22346197512980823],55.163421869277954
134,[0.22346197512980823],55.58517098426819
135,[0.22346197512980823],56.013779401779175
136,[0.22346197512980823],56.41890239715576
137,[0.22346197512980823],56.84799003601074
138,[0.22346197512980823],57.25456523895264
139,[0.22346197512980823],57.68108916282654
140,[0.22346197512980823],58.09795951843262
141,[0.22346197512980823],58.52033185958862
142,[0.22346197512980823],58.94181823730469
143,[0.22346197512980823],59.34600830078125
144,[0.22346197512980823],59.771645069122314
145,[0.22346197512980823],60.17735743522644
146,[0.22346197512980823],60.60751819610596
147,[0.22346197512980823],61.02817487716675
148,[0.22346197512980823],61.444716691970825
149,[0.22346197512980823],61.84744882583618
150,[0.22346197512980823],62.25916361808777
151,[0.22346197512980823],62.68050694465637
152,[0.22346197512980823],63.093411445617676
153,[0.22346197512980823],63.50125980377197
154,[0.22346197512980823],63.91884088516235
155,[0.22346197512980823],64.33797144889832
156,[0.22346197512980823],64.75981259346008
157,[0.22346197512980823],65.172292470932
158,[0.22346197512980823],65.58001279830933
159,[0.22346197512980823],66.00420928001404
160,[0.22346197512980823],66.42573165893555
161,[0.22346197512980823],66.85093092918396
162,[0.22346197512980823],67.25708675384521
163,[0.22346197512980823],67.66961431503296
164,[0.22346197512980823],68.08661484718323
165,[0.22346197512980823],68.4898042678833
166,[0.22346197512980823],68.89552354812622
167,[0.22346197512980823],69.30298805236816
168,[0.22346197512980823],69.71022820472717
169,[0.22346197512980823],70.12940621376038
170,[0.22346197512980823],70.54716324806213
171,[0.22346197512980823],70.94571685791016
172,[0.22346197512980823],71.35538744926453
173,[0.22346197512980823],71.76514387130737
174,[0.22346197512980823],72.1731185913086
175,[0.22346197512980823],72.5915539264679
176,[0.22346197512980823],73.02168273925781
177,[0.22346197512980823],73.4486472606659
178,[0.22346197512980823],73.86600589752197
179,[0.22346197512980823],74.29277467727661
180,[0.22346197512980823],74.70272541046143
181,[0.22346197512980823],75.12830090522766
182,[0.22346197512980823],75.5400276184082
183,[0.22346197512980823],75.94885063171387
184,[0.22346197512980823],76.36733102798462
185,[0.22346197512980823],76.79861879348755
186,[0.22346197512980823],77.20959305763245
187,[0.22346197512980823],77.62287664413452
188,[0.22346197512980823],78.03954291343689
189,[0.22346197512980823],78.4586329460144
190,[0.22346197512980823],78.86217904090881
191,[0.22346197512980823],79.25711631774902
192,[0.22346197512980823],79.66125845909119
193,[0.22346197512980823],80.08860325813293
194,[0.22346197512980823],80.49910712242126
195,[0.22346197512980823],80.90859293937683
196,[0.22346197512980823],81.3315737247467
197,[0.22346197512980823],81.7543773651123
198,[0.22346197512980823],82.17374229431152
199,[0.22346197512980823],82.59040093421936
200,[0.22346197512980823],83.00506043434143
201,[0.22346197512980823],83.41255712509155
202,[0.22346197512980823],83.80462741851807
203,[0.22346197512980823],84.21022963523865
204,[0.22346197512980823],84.61900544166565
205,[0.22346197512980823],85.03325724601746
206,[0.22346197512980823],85.4560706615448
207,[0.22346197512980823],85.88559412956238
208,[0.22346197512980823],86.29164385795593
209,[0.22346197512980823],86.70069408416748
210,[0.22346197512980823],87.10937261581421
211,[0.22346197512980823],87.5271258354187
212,[0.22346197512980823],87.93020939826965
213,[0.22346197512980823],88.33971977233887
214,[0.22346197512980823],88.75826525688171
215,[0.22346197512980823],89.187997341156
216,[0.22346197512980823],89.60622525215149
217,[0.22346197512980823],90.02251696586609
218,[0.22346197512980823],90.43128538131714
219,[0.22346197512980823],90.82270741462708
220,[0.22346197512980823],91.24741888046265
221,[0.22346197512980823],91.66488480567932
222,[0.22346197512980823],92.08000421524048
223,[0.22346197512980823],92.50315284729004
224,[0.22346197512980823],92.91361260414124
225,[0.22346197512980823],93.33976578712463
226,[0.22346197512980823],93.73463702201843
227,[0.22346197512980823],94.16274929046631
228,[0.22346197512980823],94.56215167045593
229,[0.22346197512980823],94.9874427318573
230,[0.22346197512980823],95.39742803573608
231,[0.22346197512980823],95.82314038276672
232,[0.22346197512980823],96.23587036132812
233,[0.22346197512980823],96.67183566093445
234,[0.22346197512980823],97.08496856689453
235,[0.22346197512980823],97.48491930961609
236,[0.22346197512980823],97.89903283119202
237,[0.22346197512980823],98.30702996253967
238,[0.22346197512980823],98.71271681785583
239,[0.22346197512980823],99.12218451499939
240,[0.22346197512980823],99.54685354232788
241,[0.22346197512980823],99.96404600143433
242,[0.22346197512980823],100.39391160011292
243,[0.22346197512980823],100.81592726707458
244,[0.22346197512980823],101.23285460472107
245,[0.22346197512980823],101.645028591156
246,[0.22346197512980823],102.05849814414978
247,[0.22346197512980823],102.47202610969543
248,[0.22346197512980823],102.87829685211182
249,[0.22346197512980823],103.27762794494629
250,[0.22346197512980823],103.69230890274048
251,[0.22346197512980823],104.10678315162659
252,[0.22346197512980823],104.51365923881531
253,[0.22346197512980823],104.92600154876709
254,[0.22346197512980823],105.34051823616028
255,[0.22346197512980823],105.76113486289978
256,[0.22346197512980823],106.1640727519989
257,[0.22346197512980823],106.58663511276245
258,[0.22346197512980823],107.0062267780304
259,[0.22346197512980823],107.41100239753723
260,[0.22346197512980823],107.81681370735168
261,[0.22346197512980823],108.21745133399963
262,[0.22346197512980823],108.63698244094849
263,[0.22346197512980823],109.03893423080444
264,[0.22346197512980823],109.44425845146179
265,[0.22346197512980823],109.85530090332031
266,[0.22346197512980823],110.25789833068848
267,[0.22346197512980823],110.68333983421326
268,[0.22346197512980823],111.09926128387451
269,[0.22346197512980823],111.50678753852844
270,[0.22346197512980823],111.9331042766571
271,[0.22346197512980823],112.34875822067261
272,[0.22346197512980823],112.7730484008789
273,[0.22346197512980823],113.19202089309692
274,[0.22346197512980823],113.61118817329407
275,[0.22346197512980823],114.03535962104797
276,[0.22346197512980823],114.44069766998291
277,[0.22346197512980823],114.88738250732422
278,[0.22346197512980823],115.30920386314392
279,[0.22346197512980823],115.7361114025116
280,[0.22346197512980823],116.1528377532959
281,[0.22346197512980823],116.56357169151306
282,[0.22346197512980823],116.97343444824219
283,[0.22346197512980823],117.39542031288147
284,[0.22346197512980823],117.81012654304504
285,[0.22346197512980823],118.20722007751465
286,[0.22346197512980823],118.63504981994629
287,[0.22346197512980823],119.05671501159668
288,[0.22346197512980823],119.50064182281494
289,[0.22346197512980823],119.89713716506958
290,[0.22346197512980823],120.310222864151
291,[0.22346197512980823],120.74503803253174
292,[0.22346197512980823],121.17690372467041
293,[0.22346197512980823],121.61417078971863
294,[0.22346197512980823],122.02697920799255
295,[0.22346197512980823],122.43927073478699
296,[0.22346197512980823],122.87422704696655
297,[0.22346197512980823],123.29300904273987
298,[0.22346197512980823],123.7122015953064
299,[0.22346197512980823],124.16871690750122
300,[0.22346197512980823],124.61031579971313
301,[0.22346197512980823],125.0356719493866
302,[0.22346197512980823],125.45304656028748
303,[0.22346197512980823],125.87690687179565
304,[0.22346197512980823],126.28523230552673
305,[0.22346197512980823],126.70167779922485
306,[0.22346197512980823],127.11314678192139
307,[0.22346197512980823],127.53145122528076
308,[0.22346197512980823],127.96370458602905
309,[0.22346197512980823],128.37724447250366
310,[0.22346197512980823],128.80105137825012
311,[0.22346197512980823],129.23922395706177
312,[0.22346197512980823],129.66312408447266
313,[0.22346197512980823],130.07698774337769
314,[0.22346197512980823],130.48108887672424
315,[0.22346197512980823],130.89529514312744
316,[0.22346197512980823],131.31550669670105
317,[0.22346197512980823],131.7247815132141
318,[0.22346197512980823],132.1480393409729
319,[0.22346197512980823],132.5662717819214
320,[0.22346197512980823],132.97999358177185
321,[0.22346197512980823],133.382807970047
322,[0.22346197512980823],133.77688574790955
323,[0.22346197512980823],134.18015718460083
324,[0.22346197512980823],134.5897297859192
325,[0.22346197512980823],135.00943613052368
326,[0.22346197512980823],135.41816592216492
327,[0.22346197512980823],135.838041305542
328,[0.22346197512980823],136.24317526817322
329,[0.22346197512980823],136.66325426101685
330,[0.22346197512980823],137.09059882164001
331,[0.22346197512980823],137.51705169677734
332,[0.22346197512980823],137.93340182304382
333,[0.22346197512980823],138.35076332092285
334,[0.22346197512980823],138.78470492362976
335,[0.22346197512980823],139.20229649543762
336,[0.22346197512980823],139.62327027320862
337,[0.22346197512980823],140.04412817955017
338,[0.22346197512980823],140.4620180130005
339,[0.22346197512980823],140.90000247955322
340,[0.22346197512980823],141.32678818702698
341,[0.22346197512980823],141.74075603485107
342,[0.22346197512980823],142.1388018131256
343,[0.22346197512980823],142.546772480011
344,[0.22346197512980823],142.9699227809906
345,[0.22346197512980823],143.39056253433228
346,[0.22346197512980823],143.80695176124573
347,[0.22346197512980823],144.22820162773132
348,[0.22346197512980823],144.64901065826416
349,[0.22346197512980823],145.06017446517944
350,[0.22346197512980823],145.48280453681946
351,[0.22346197512980823],145.89258575439453
352,[0.22346197512980823],146.30331707000732
353,[0.22346197512980823],146.71675395965576
354,[0.22346197512980823],147.109201669693
355,[0.22346197512980823],147.5470085144043
356,[0.22346197512980823],147.96441650390625
357,[0.22346197512980823],148.36248135566711
358,[0.22346197512980823],148.78003334999084
359,[0.22346197512980823],149.18961763381958
360,[0.22346197512980823],149.6138801574707
361,[0.22346197512980823],150.03819799423218
362,[0.22346197512980823],150.44496536254883
363,[0.22346197512980823],150.85290241241455
364,[0.22346197512980823],151.26171040534973
365,[0.22346197512980823],151.69536066055298
366,[0.22346197512980823],152.1133325099945
367,[0.22346197512980823],152.5459451675415
368,[0.22346197512980823],152.97012329101562
369,[0.22346197512980823],153.38343834877014
370,[0.22346197512980823],153.80058312416077
371,[0.22346197512980823],154.21312022209167
372,[0.22346197512980823],154.63384294509888
373,[0.22346197512980823],155.05091309547424
374,[0.22346197512980823],155.4538595676422
375,[0.22346197512980823],155.8744626045227
376,[0.22346197512980823],156.28593230247498
377,[0.22346197512980823],156.69962644577026
378,[0.22346197512980823],157.1284637451172
379,[0.22346197512980823],157.54608535766602
380,[0.22346197512980823],157.9634518623352
381,[0.22346197512980823],158.39338946342468
382,[0.22346197512980823],158.80886912345886
383,[0.22346197512980823],159.2255380153656
384,[0.22346197512980823],159.63092470169067
385,[0.22346197512980823],160.04997777938843
386,[0.22346197512980823],160.47072911262512
387,[0.22346197512980823],160.89053392410278
388,[0.22346197512980823],161.30198669433594
389,[0.22346197512980823],161.7182970046997
390,[0.22346197512980823],162.1237235069275
391,[0.22346197512980823],162.52343106269836
392,[0.22346197512980823],162.92619276046753
393,[0.22346197512980823],163.36335563659668
394,[0.22346197512980823],163.7632715702057
395,[0.22346197512980823],164.1652808189392
396,[0.22346197512980823],164.57215285301208
397,[0.22346197512980823],164.9912507534027
398,[0.22346197512980823],165.41336584091187
399,[0.22346197512980823],165.8339648246765
400,[0.22346197512980823],166.2394061088562
401,[0.22346197512980823],166.6544394493103
402,[0.22346197512980823],167.0652277469635
403,[0.22346197512980823],167.48419880867004
404,[0.22346197512980823],167.89759588241577
405,[0.22346197512980823],168.3026852607727
406,[0.22346197512980823],168.70128345489502
407,[0.22346197512980823],169.11530542373657
408,[0.22346197512980823],169.5237979888916
409,[0.22346197512980823],169.94763851165771
410,[0.22346197512980823],170.37356615066528
411,[0.22346197512980823],170.78873324394226
412,[0.22346197512980823],171.2050542831421
413,[0.22346197512980823],171.62968468666077
