Evaluation Number,Fitness Value,Computing Time
2,[0.24385584674046934],0.5441527366638184
3,[0.24385584674046934],0.827570915222168
4,[0.24385584674046934],1.1048412322998047
5,[0.2408811254228116],1.3750617504119873
6,[0.2408811254228116],1.6422736644744873
7,[0.23494008039899525],1.9276297092437744
8,[0.23494008039899525],2.1979477405548096
9,[0.23494008039899525],2.487471103668213
10,[0.23494008039899525],2.761011838912964
11,[0.23494008039899525],3.0412144660949707
12,[0.23494008039899525],3.329213857650757
13,[0.23494008039899525],3.610055685043335
14,[0.23494008039899525],3.8865737915039062
15,[0.23494008039899525],4.161198139190674
16,[0.23494008039899525],4.436824083328247
17,[0.23494008039899525],4.718094348907471
18,[0.23494008039899525],4.999677419662476
19,[0.23494008039899525],5.2827301025390625
20,[0.23494008039899525],5.570343017578125
21,[0.23494008039899525],5.845202207565308
22,[0.23494008039899525],6.1158766746521
23,[0.23494008039899525],6.3865461349487305
24,[0.23494008039899525],6.675719976425171
25,[0.23494008039899525],6.948302507400513
26,[0.23494008039899525],7.223743915557861
27,[0.23494008039899525],7.510411739349365
28,[0.23494008039899525],7.790633916854858
29,[0.23494008039899525],8.076350688934326
30,[0.23494008039899525],8.349414587020874
31,[0.23494008039899525],8.630220651626587
32,[0.23494008039899525],8.90763258934021
33,[0.23494008039899525],9.201011896133423
34,[0.23494008039899525],9.481569766998291
35,[0.23494008039899525],9.756986141204834
36,[0.23494008039899525],10.029499292373657
37,[0.23494008039899525],10.307374477386475
38,[0.23494008039899525],10.581304788589478
39,[0.23494008039899525],10.86141562461853
40,[0.23494008039899525],11.135245561599731
41,[0.23494008039899525],11.403386354446411
42,[0.23494008039899525],11.673431873321533
43,[0.23494008039899525],11.950306177139282
44,[0.23494008039899525],12.231329917907715
45,[0.23494008039899525],12.505149126052856
46,[0.23494008039899525],12.80678129196167
47,[0.23494008039899525],13.091169595718384
48,[0.23494008039899525],13.364507675170898
49,[0.23494008039899525],13.645663022994995
50,[0.23494008039899525],13.933414459228516
51,[0.23494008039899525],14.196594953536987
52,[0.23494008039899525],14.466746807098389
53,[0.23494008039899525],14.739787817001343
54,[0.23494008039899525],15.008845806121826
55,[0.23494008039899525],15.287217378616333
56,[0.23494008039899525],15.564647674560547
57,[0.23494008039899525],15.84273624420166
58,[0.23494008039899525],16.12257432937622
59,[0.23494008039899525],16.40199089050293
60,[0.23494008039899525],16.679380178451538
61,[0.23494008039899525],16.96062207221985
62,[0.23494008039899525],17.24854016304016
63,[0.23494008039899525],17.52291250228882
64,[0.23494008039899525],17.801435232162476
65,[0.23494008039899525],18.092236518859863
66,[0.23494008039899525],18.37361168861389
67,[0.23494008039899525],18.647355556488037
68,[0.23494008039899525],18.92640733718872
69,[0.23494008039899525],19.202858448028564
70,[0.23494008039899525],19.4789400100708
71,[0.23494008039899525],19.743937730789185
72,[0.23494008039899525],20.028228998184204
73,[0.23494008039899525],20.30188488960266
74,[0.23494008039899525],20.57559561729431
75,[0.23494008039899525],20.852858543395996
76,[0.23494008039899525],21.131529331207275
77,[0.23494008039899525],21.409695625305176
78,[0.23494008039899525],21.69155788421631
79,[0.23494008039899525],21.959125995635986
80,[0.23494008039899525],22.23212766647339
81,[0.23494008039899525],22.515281915664673
82,[0.23494008039899525],22.794105052947998
83,[0.23494008039899525],23.06866979598999
84,[0.23494008039899525],23.360507488250732
85,[0.23494008039899525],23.63661813735962
86,[0.23494008039899525],23.908562183380127
87,[0.23494008039899525],24.189664363861084
88,[0.23494008039899525],24.461024522781372
89,[0.23494008039899525],24.737197875976562
90,[0.23494008039899525],25.00858974456787
91,[0.23494008039899525],25.287314653396606
92,[0.23494008039899525],25.57251787185669
93,[0.23494008039899525],25.863165378570557
94,[0.23494008039899525],26.14700174331665
95,[0.23494008039899525],26.42919421195984
96,[0.23494008039899525],26.700303316116333
97,[0.23494008039899525],26.969844341278076
98,[0.23494008039899525],27.249086618423462
99,[0.23494008039899525],27.529284715652466
100,[0.23494008039899525],27.81182861328125
101,[0.23494008039899525],28.08061695098877
102,[0.23494008039899525],28.35512399673462
103,[0.23494008039899525],28.63051438331604
104,[0.23494008039899525],28.902686834335327
105,[0.23494008039899525],29.17900061607361
106,[0.23494008039899525],29.45840287208557
107,[0.23494008039899525],29.728212594985962
108,[0.23494008039899525],30.00164008140564
109,[0.23494008039899525],30.281202793121338
110,[0.23494008039899525],30.55157732963562
111,[0.23494008039899525],30.826170921325684
112,[0.23494008039899525],31.105140686035156
113,[0.23494008039899525],31.38723373413086
114,[0.23494008039899525],31.667420625686646
115,[0.23494008039899525],31.939926147460938
116,[0.23494008039899525],32.22032690048218
117,[0.23494008039899525],32.49497389793396
118,[0.23494008039899525],32.76496887207031
119,[0.23494008039899525],33.04529142379761
120,[0.23494008039899525],33.33068585395813
121,[0.23494008039899525],33.59938955307007
122,[0.23494008039899525],33.87694954872131
123,[0.23494008039899525],34.154640913009644
124,[0.23494008039899525],34.440560817718506
125,[0.23494008039899525],34.71172046661377
126,[0.23494008039899525],34.985414266586304
127,[0.23494008039899525],35.25129842758179
128,[0.23494008039899525],35.52542972564697
129,[0.23494008039899525],35.804128885269165
130,[0.23494008039899525],36.082356691360474
131,[0.23494008039899525],36.36898922920227
132,[0.23494008039899525],36.64464282989502
133,[0.23494008039899525],36.92387914657593
134,[0.23494008039899525],37.18962907791138
135,[0.23494008039899525],37.46480941772461
136,[0.23494008039899525],37.741029024124146
137,[0.23494008039899525],38.020381927490234
138,[0.23494008039899525],38.29715657234192
139,[0.23494008039899525],38.562891483306885
140,[0.23494008039899525],38.83262300491333
141,[0.23494008039899525],39.10310912132263
142,[0.23494008039899525],39.378427028656006
143,[0.23494008039899525],39.66122078895569
144,[0.23494008039899525],39.93336367607117
145,[0.23494008039899525],40.21003746986389
