Evaluation Number,Fitness Value,Computing Time
2,[0.25784986764515283],0.5143401622772217
3,[0.243454404798952],0.7626943588256836
4,[0.243454404798952],1.0239589214324951
5,[0.243454404798952],1.2821953296661377
6,[0.243454404798952],1.5373389720916748
7,[0.243454404798952],1.8293635845184326
8,[0.243454404798952],2.0956192016601562
9,[0.243454404798952],2.3574514389038086
10,[0.243454404798952],2.6451427936553955
11,[0.243454404798952],2.938988208770752
12,[0.243454404798952],3.234384536743164
13,[0.243454404798952],3.51967191696167
14,[0.243454404798952],3.7905828952789307
15,[0.243454404798952],4.086116313934326
16,[0.243454404798952],4.38595986366272
17,[0.24338108889866977],4.676494121551514
18,[0.24338108889866977],4.937291383743286
19,[0.24338108889866977],5.191498041152954
20,[0.24338108889866977],5.44968318939209
21,[0.24338108889866977],5.704933404922485
22,[0.24338108889866977],5.961169481277466
23,[0.24338108889866977],6.222917556762695
24,[0.24338108889866977],6.4647297859191895
25,[0.24338108889866977],6.726300001144409
26,[0.24338108889866977],6.974114894866943
27,[0.24338108889866977],7.233539342880249
28,[0.24338108889866977],7.494982481002808
29,[0.23741439937106576],7.7390382289886475
30,[0.23741439937106576],7.990988731384277
31,[0.23741439937106576],8.245862245559692
32,[0.23741439937106576],8.507537364959717
33,[0.23741439937106576],8.762348175048828
34,[0.23741439937106576],9.017406463623047
35,[0.23741439937106576],9.278808832168579
36,[0.23741439937106576],9.536104917526245
37,[0.23741439937106576],9.788107633590698
38,[0.23741439937106576],10.044919490814209
39,[0.23741439937106576],10.312058687210083
40,[0.23741439937106576],10.561947584152222
41,[0.23741439937106576],10.828502655029297
42,[0.23741439937106576],11.080501079559326
43,[0.23741439937106576],11.328638076782227
44,[0.23741439937106576],11.585421562194824
45,[0.23741439937106576],11.843619108200073
46,[0.23725592178692978],12.083202362060547
47,[0.23725592178692978],12.34250783920288
48,[0.23725592178692978],12.595532178878784
49,[0.23725592178692978],12.851724624633789
50,[0.23725592178692978],13.106502294540405
51,[0.23725592178692978],13.35761547088623
52,[0.23725592178692978],13.614088296890259
53,[0.23725592178692978],13.865119695663452
54,[0.23725592178692978],14.122485160827637
55,[0.23725592178692978],14.376466274261475
56,[0.23725592178692978],14.633798837661743
57,[0.23725592178692978],14.88778805732727
58,[0.23725592178692978],15.143774509429932
59,[0.23725592178692978],15.395690202713013
60,[0.23725592178692978],15.65195083618164
61,[0.23725592178692978],15.904624938964844
62,[0.23725592178692978],16.161562204360962
63,[0.23725592178692978],16.404220581054688
64,[0.23725592178692978],16.662109851837158
65,[0.23725592178692978],16.921695947647095
66,[0.23725592178692978],17.185984134674072
67,[0.23725592178692978],17.448880910873413
68,[0.23725592178692978],17.696732759475708
69,[0.23725592178692978],17.954339027404785
70,[0.23725592178692978],18.202362060546875
71,[0.23725592178692978],18.45343589782715
72,[0.23725592178692978],18.71185612678528
73,[0.23725592178692978],18.971422910690308
74,[0.23725592178692978],19.22631525993347
75,[0.23725592178692978],19.47802996635437
76,[0.23725592178692978],19.744083881378174
77,[0.23725592178692978],19.994115829467773
78,[0.23725592178692978],20.247915029525757
79,[0.23725592178692978],20.495407819747925
80,[0.23725592178692978],20.748100996017456
