Evaluation Number,Fitness Value,Computing Time
2,[0.2838934779458737],0.03243660926818848
3,[0.27658455789937214],0.047482967376708984
4,[0.27658455789937214],0.06533169746398926
5,[0.2661297845052025],0.07964825630187988
6,[0.23200574605710197],0.09498715400695801
7,[0.23074308413270483],0.10871744155883789
8,[0.23074308413270483],0.12330412864685059
9,[0.23074308413270483],0.13733839988708496
10,[0.23074308413270483],0.15284943580627441
11,[0.20345860169521435],0.16498732566833496
12,[0.20345860169521435],0.17959833145141602
13,[0.20345860169521435],0.19449949264526367
